File Name,Job Title,EXP Job Title,Job Number,Job Duties,Salary Range,Open Date,EXPERIENCE_LENGTH,Education Years,PART-TIME OR FULL-TIME,School Type,Educational Major,Required License,Exam Type,COURSE_SUBJECT,Course Counts,Course Length ,Job Requirements
cityofla/Job Bulletins\AIRPORT AIDE 1540 081018.txt,AIRPORT AIDE,EXECUTIVE,1540,An Airport Aide provides services and transportation for visiting dignitaries and Airport officials and may supervise others assisting in such activities.,"$43,242 to $63,203",8/10/2018,1,,FULL-TIME,None,AIRPORT,P,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,,0,0,One year of full-time paid experience as an Airport Guide with the Los Angeles World Airports assisting executive management and/or elected officials.
cityofla/Job Bulletins\AIRPORT CHIEF INFORMATION SECURITY OFFICER 1404 120415_Modified.txt,AIRPORT CHIEF INFORMATION SECURITY OFFICER,CHIEF INFORMATION SECURITY OFFICER ,1404,"Airport Chief Information Security Officer manages the design, development, implementation, operation and maintenance of all LAWA information security programs; protects the confidentiality, integrity, and availability of all voice, data network, application, network infrastructure and their associated information assets; creates a security-conscious culture through training and development; implements and maintains a security infrastructure based on policies and procedures; ensures compliance with applicable Federal, State, local laws and ordinances; and fulfills equal employment opportunity responsibilities.","$125,551 to $183,576",12/4/2015,4,4,PART-TIME,COLLEGE OR UNIVERSITY,AIRPORT,P,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. A bachelor's degree from an accredited four-year college or university; and
2. CISSP Certification (Certified Information Systems Security Professional); and
3. Four years of full-time paid experience at least at the level of Systems Programmer III working as a lead or supervising in the area of planning, designing, implementing, and configuring a secure network infrastructure and/or mission-critical applications containing enterprise data."
cityofla/Job Bulletins\AIRPORT ENGINEER 7256 070618.txt,AIRPORT ENGINEER,ENGINEER,7256,"An Airport Engineer performs professional engineering work in the planning, design, construction, maintenance, and operation of landside facilities, structures, pavement and support systems at an airport; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","$105,005 to $153,509 and $111,854 to $163,532",7/6/2018,2,4,PART-TIME,COLLEGE OR UNIVERSITY,ENGINEERING,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. Two years of full-time paid professional experience at the level of Engineering Associate III in the areas of civil, structural, mechanical, electrical, or communication engineering in the design, construction, management or engineering of airport/aviation projects or programs; and a valid license as a Professional Engineer with the California State Board of Registration for Professional Engineer; or
2. Five years of full-time paid professional experience (two years of which requiring a PE license to perform duties) in the areas of civil, structural, mechanical, electrical, or communication engineering in the design, construction, management or engineering of airport/aviation projects or programs and a valid license as a Professional Engineer with the California State Board of Registration for Professional Engineers."
cityofla/Job Bulletins\AIRPORT GUIDE 0845 042018.txt,AIRPORT GUIDE,CUSTOMER SERVICE ,845,An Airport Guide directs arriving passengers to appropriate lines or locations in and around airport facilities; assists passengers in the completion of necessary paperwork; assists with foreign language translations; provides a wide range of airport/airline information to passengers; transports elected officials to various locations on airport property; conducts visitor tours; organizes and hosts special events; serves as museum docent; represents LAWA to the public; assists responding agencies during airport emergencies; may plan and supervise the work of other Airport Guides; and does related work.,"$31,946 to $44,265; and $31,925 to $46,687",4/20/2018,,,FULL-TIME,HIGH SCHOOL,AIRPORT GUIDE,R,ONLY ON AN OPEN COMPETITIVE BASIS,,0,0,"1,040 hours of paid or volunteer experience in a position providing customer service at an airport or other transportation-related venues such as bus terminals, train stations, and port facilities for at least 12 consecutive months.
A high school diploma is desired.
SELECTIVE CERTIFICATION
In accordance with Charter Section 1010 (b) and Civil Service Rule 5.31, selective certification will be used for some positions that require the ability to speak or write a language other than English. Only persons who have the necessary language skills may be certified in order of standing on the eligible list to fill such positions. If you have the ability to speak or write a language other than English, indicate this language in the appropriate box on the application.
 PROCESS NOTES
1. 1,040 hours is six months of full time work (40 hours per week) or 1 year of half time work (20 hours a week).
2. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or conviction of a major moving violation (such as DUI)."
cityofla/Job Bulletins\AIRPORT INFORMATION SPECIALIST 1783 121115.txt,AIRPORT INFORMATION SPECIALIST,SUPERVISOR,1783,"An Airport Information Specialist provides and/or supervises the provision of information services at Los Angeles World Airports; plans, organizes and coordinates special events for the Department; and does related work.","$42,991 to $62,869 and $53,724 to $78,529",12/11/2015,,,PART-TIME,None,HISTORY,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. Current employment with the City of Los Angeles; and 
2. 2,080 hours of paid experience as an Airport Guide II; or
3. 4,160 hours of paid experience as an Airport Guide I or Airport Information Aide."
cityofla/Job Bulletins\AIRPORT LABOR RELATIONS ADVOCATE 9210 020119.txt,AIRPORT LABOR RELATIONS ADVOCATE,JUDGE,9210,"The Airport Labor Relations Advocate advises senior management on labor relations activities that directly affect operations at the airports by working as liaison with airline employee unions and individual legislators, officials, airline administrators, and leaders of airline employee unions to establish or maintain support for LAWA's (Los Angeles World Airports) position on various issues; advocates legislation that support effective airport operations; informs management of the airport industry labor relations environment, proposals, and actions of employee unions, City, County, State and Federal authorities and agencies; examines effects of proposed legislation to determine the effect on LAWA activities and advise management. Investigates labor related concerns received from the public and recommends resolve.","$93,918 to $137,327",2/1/2019,2,,PART-TIME,COLLEGE OR UNIVERSITY,AIRPORT,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. Graduation from an accredited college or university; and two years of full-time paid professional experience in private and public sector negotiating and administering labor agreements, recommending negotiation strategies and proposals for workers' unions; or
2. Six years of full-time paid experience in private and public sector negotiating and administering labor agreements, recommending negotiation strategies and proposals for workers' unions."
cityofla/Job Bulletins\AIRPORT MANAGER 7260 120216.txt,AIRPORT MANAGER,OPERATIONS,7260,"An Airport Manager manages, through subordinate supervisors, the landside transportation, air side operations, construction project management, and maintenance activities at a commercial or general aviation airport; coordinates with law enforcement to maintain security of airport property, buildings, facilities, and airfield; participates in planning and coordinating the use of airport facilities by airport tenants and other concerned organizations; may direct the public and community relations activities at the outlying airport; fulfills Equal Employment Opportunity responsibilities; and applies sound supervisory principles and techniques in building and maintaining an effective work force.","$99,326 to $141,378; $112,647 to $160,295; $132,525 to $188,567",12/2/2016,2,,PART-TIME,None,MAINTENANCE,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. Two years of full-time paid experience with the City of Los Angeles in a class at the level of Chief of Operations coordinating airports related expansion or improvement programs or supervising staff involved in the operations or maintenance of an airport; or
2. Two years of full-time paid experience as a second-level supervisor with responsibility for the operations or maintenance of a medium or large hub commercial airport (as defined by the Federal Aviation Administration)."
cityofla/Job Bulletins\AIRPORT POLICE CAPTAIN 3228 021618.txt,AIRPORT POLICE CAPTAIN,,3228,"An Airport Police Captain plans, supervises, directs and controls civilian and sworn Airport Police Division employees within a division, section or large tactical group; applies sound management techniques to ensure the mission of the Airport Police Division is met through enforcement of federal, state and local laws and regulations, City of Los Angeles ordinances, Airport Security Program requirements and airport rules and regulations at any one of the airports of the City of Los Angeles; and does other related work.","$142,568 to $187,001",2/16/2018,1,,FULL-TIME,None,AIRPORT,R,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,,0,0,"and airport rules and regulations at any one of the airports of the City of Los Angeles; and does other related work.
REQUIREMENT/MINIMUM QUALIFICATION
One year of full-time paid experience as an Airport Police Lieutenant with the Los Angeles World Airports, or in a class at that level, with responsibility for all law enforcement and safety and security services provided at a LAWA facility during a watch or by a particular unit."
cityofla/Job Bulletins\AIRPORT POLICE LIEUTENANT 3227 091616.txt,AIRPORT POLICE LIEUTENANT,SERGEANT ,3227,"An Airport Police Lieutenant plans, supervises, directs and controls employees of the Airport Police Division of the Los Angeles World Airports (LAWA), civilian and sworn, during a specific time period, watch, or in a particular unit; applies sound supervisory and management techniques to ensure the mission of the Airport Police Division of the Los Angeles World Airports is met through the enforcement of federal, state and local laws and regulations, City of Los Angeles ordinances, Airport Security Program requirements and airport rules and regulations at any of the four City of Los Angeles airports; and does other related work.","$102,186 to $134,028",9/16/2016,2,,FULL-TIME,None,AIRPORT,R,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,,1,1,"and airport rules and regulations at any of the four City of Los Angeles airports; and does other related work.
REQUIREMENT/MINIMUM QUALIFICATION
Two years of full-time paid experience as an Airport Police Sergeant with the Los Angeles World Airports, or in a class at that level, one year of which must have involved full-time responsibility for the deployment and functioning of law enforcement, safety, and security personnel in the performance of their duties at a Los Angeles World Airports facility."
cityofla/Job Bulletins\AIRPORT POLICE OFFICER 3225 110906 Rev 060115.txt,AIRPORT POLICE OFFICER,POLICE OFFICER,3225,"An Airport Police Officer is a sworn peace officer, authorized to carry a firearm who enforces federal and state regulations, City of Los Angeles ordinances, and security, traffic, and safety rules and regulations; engages in law enforcement activities, including uniformed foot, vehicle, motorcycle, bicycle patrol and plainclothes assignments, arrest, and report writing at Los Angeles World Airports; provides information to the public regarding locations and operations of the Department; and does related work.","$51,448 to $83,019",11/9/2006,,3,None,HIGH SCHOOL,AIRPORT,R,ONLY ON AN OPEN COMPETITIVE BASIS,,0,0,"1. 21 years of age at the time of hire.  However, you may take the written test if you are at least 20 1/2 on the written test date.  
2. Graduation from a U.S. high school, G.E.D. or equivalent from a U.S. institution, or a California High School Proficiency Examination (CHSPE) certificate is required.  A two or four year college degree from an accredited U.S. or foreign institution may be substituted for the high school requirements.
3. United States citizenship, or non-citizens must be permanent resident aliens who, in accordance with the requirements of the U.S. Citizenship and Immigration Services (USCIS), are eligible and have applied for citizenship.  Documentation that the USCIS accepted the candidate's application for citizenship prior to the written test date must be submitted during the selection process.
POST-Certified Candidates May:
Be selectively certified (considered for hire prior to other candidates due to their advanced training).
A POST qualified candidate for this examination must either have:
a) Completed a POST-certified Basic Police Academy within the last three years; or
b) After having completed a POST-certified Basic Police Academy, been employed as a Police Officer within the last three years
If you meet either of these criteria, submit a copy of your certificate of completion of a POST-certified Basic Police Academy or your Basic Certificate issued by POST to Room 150 of the Personnel Department Building (address below).
Candidates who do not meet either of these criteria may be considered for hire based upon their rank on the eligible list, and if appointed, will receive POST training."
cityofla/Job Bulletins\AIRPORT POLICE SPECIALIST 3236 063017 (2).txt,AIRPORT POLICE SPECIALIST,,3236,"As a sworn member of the Los Angeles World Airports (LAWA) Airport Police Division, an Airport Police Specialist is responsible for enforcement of activities on Airport property including, but not limited to enforcement of State and Federal laws, City of Los Angeles ordinances, security, traffic, aviation and safety rules and regulations.  Incumbents in this class make arrests, apprehend and/or assist other law enforcement agencies with apprehending law violators; issue parking and/or traffic citations; respond to radio calls for police assistance at various screening stations and other locations within the airport jurisdictions.",Salary scale pending. Salary to be determined prior to appointment.,6/30/2017,,,None,None,AIRPORT,R,ONLY ON AN OPEN COMPETITIVE BASIS,,2,1,"/MINUMUM QUALIFICATIONS 
1. Possess a current California Basic P.O.S.T. Certificate at the time of application; or, have standing as an LAPD Line Reserve Officer with Certified Designated level 1 (CDL) status; or, a Basic Course Waiver issued by the California Commission on Peace Officer Standards and Testing;
2. Must  be 21 years of age at the time of appointment; and   
3. Must have U.S. Citizenship or have applied for U.S. Citizenship prior to applying for Airport Police Specialist."
cityofla/Job Bulletins\AIRPORT SUPERINTENDENT OF OPERATIONS 7268 121815 (1).txt,AIRPORT SUPERINTENDENT OF OPERATIONS,OPERATIONS,7268,"An Airport Superintendent of Operations inspects airport facilities; reviews contract and private ground transportation services to ensure compliance with contract terms and airport rules, regulations, and procedures; enforces safety operating rules, regulations, and procedures; acts as liaison between the operations office and airport maintenance, tenants, and the public; directs the activities of personnel in the Airport Operations Division who enforce operating and security rules, regulations and procedures for the safe and efficient operation of airport facilities and equipment; may act for an Airport Manager on an assigned or rotating shift; may supervise the operation, maintenance and security of a commercial or general aviation airport; and does related work.","$53,682 to $78,467; $66,294 to $96,904 and $78,654 to $114,986",12/18/2015,2,4,FULL-TIME,COLLEGE OR UNIVERSITY,LABOR,R,ONLY ON AN OPEN COMPETITIVE BASIS,aviation or transportation management.,1,2,"1. Two years of full-time paid experience at a commercial service or military airport working in: aircraft ground operations, airline ramp activities, airport terminal use management, or airport ground transportation monitoring activities, or in a Federal Inspection Services (FIS) area or an airport control tower; or operating aircraft service equipment on an airfield; or
2. A bachelor's degree from an accredited four-year college or university with 24 semester or 36 quarter units in aviation or transportation management."
cityofla/Job Bulletins\AIRPORTS MAINTENANCE SUPERINTENDENT 3331 021518.txt,AIRPORTS MAINTENANCE SUPERINTENDENT,SUPERVISOR,3331,"An Airports Maintenance Superintendent plans, organizes, and directs, through subordinate supervisors, the work of several crews of skilled craft and maintenance workers engaged in the operation, custodial care, maintenance, alteration, repair, and construction of airports buildings, grounds, airfields, and appurtenant equipment, including complex air-conditioning equipment; applies sound supervisory techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.","$90,369 to $132,108",2/16/2018,2,,FULL-TIME,None,MAINTENANCE,R,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,,0,0,"1. Two years of full-time paid experience as an Airports Maintenance Supervisor, or in a class which is at that level, supervising employees engaged in building equipment maintenance and operation, equipment operation, fleet maintenance, fleet equipment procurement, construction, or street maintenance; or
2. Four years of full-time paid experience as a Senior Building Operating Engineer, or in a class which is at that level, as a working supervisor of employees engaged in building equipment maintenance and operation, equipment operation, fleet maintenance, fleet equipment procurement, construction, or street maintenance."
cityofla/Job Bulletins\AIRPORTS MAINTENANCE SUPERVISOR 3336 111618.txt,AIRPORTS MAINTENANCE SUPERVISOR,REPAIRER,3336,"An Airports Maintenance Supervisor plans, organizes, and directs the work of a labor and maintenance crew performing a variety of maintenance activities on airport properties including the operations, custodial care, maintenance, alteration, repair and construction of airport buildings, airfields, and appurtenant equipment; and applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","$66,523 to $97,321; $70,177 to $102,625; and $72,307 to $105,652",11/16/2018,4,6,FULL-TIME,APPRENTICESHIP,MAINTENANCE,R,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,,0,0,"1. Four years of full-time paid experience as an equipment operator, building repairer, building operating engineer, journey-level craft worker, or as a full-time supervisor of manual or semiskilled workers in building, custodial, or airfield facility maintenance, repair, operation, or street maintenance; or
2. Six years of full-time paid experience as a lead worker in building, custodial or airfield facility maintenance, repair, operation, or street maintenance with the Los Angeles World Airports."
cityofla/Job Bulletins\AIRPORTS PUBLIC AND COMMUNITY RELATIONS DIRECTOR 1788 120817.txt,AIRPORTS PUBLIC AND COMMUNITY RELATIONS DIRECTOR,REPRESENTATIVE,1788,"An Airports Public and Community Relations Director plans, develops, administers and assists in the planning and administration of the public and community relations programs of the Los Angeles World Airports; advises management of the potential public relations effect of proposed actions; maintains and develops strong community outreach programs; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","$86,777 to $123,463 and $110,726 to $157,602",12/8/2017,2,4,PART-TIME,COLLEGE OR UNIVERSITY,JOURNALISM,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,order to obtain this position.,0,0,"1.		Two years of full-time paid professional experience as a Principal Public Relations Representative or in a class at that level with responsibility for public relations program management and development with the City of Los Angeles; or
2.		Graduation from an accredited four-year college or university with a degree in journalism, English, public relations, or communications and two years of full-time paid professional experience in supervising a public relations staff responsible for a comprehensive public information program; or
3.		Graduation from an accredited four-year college or university and four years of full-time paid professional experience in public relations managing a comprehensive public information program."
cityofla/Job Bulletins\ANIMAL CARE ASSISTANT 4323 020119.txt,ANIMAL CARE ASSISTANT,TECHNICIAN,4323,"Animal Care Assistants perform work in the receiving, care, and disposition of animals in the City animal shelters; and work with Animal Care Technicians in performing such work.","$39,337 to $57,545",2/1/2019,,,FULL-TIME,None,,R,ONLY ON AN OPEN COMPETITIVE BASIS,,0,0,"1. Current employment with the City of Los Angeles; and
2. At least six months of full-time paid experience as a Vocational Worker with the City of Los Angeles performing animal care work; and 
3. A letter of recommendation from the personnel office of the employing department where the above experience was obtained, which includes a statement of the department's willingness to hire the employee as an Animal Care Assistant. The letter must be attached to the application at the time of filing."
cityofla/Job Bulletins\ANIMAL CARE TECHNICIAN 4310 040116 REV 041416.txt,ANIMAL CARE TECHNICIAN,,4310,"An Animal Care Technician receives and cares for all types of domestic and wild animals; assists with transferring animals to other shelters; explains regulations regarding disposition of animals to the public; works with the public to adopt animals both in the shelter and at mobile adoption events; cares for dangerous and/or diseased and injured animals; interfaces with medical staff regarding the health of animals; and cleans kennels, cages, vehicles, buildings, yards and equipment.  Animal Care Technicians must assist in humanely euthanizing animals due to disease, injury or overcrowded conditions. Animal Care Technicians require contact with the public, volunteers, adoption partners, local veterinarians/clinics, internal staff and staff in other departments; and must provide excellent customer service and animal care.","$38,565 to $56,396",4/1/2016,,,None,COLLEGE OR UNIVERSITY,FITNESS,R,ONLY ON AN OPEN COMPETITIVE BASIS,animal health or animal care.,2,3,"1. 1,040 hours of experience (paid or volunteer) in the care or maintenance of companion animals, which must include dogs, cats, or rabbits; or
2. Completion of 3 semester units or 4 quarter units from an accredited college or university in animal health or animal care."
cityofla/Job Bulletins\ANIMAL CARE TECHNICIAN SUPERVISOR 4313 122118.txt,WATER TREATMENT OPERATOR,,5885,"A Water Treatment Operator does skilled work in the operation, regulation, maintenance and repair of equipment used in the treatment of potable water.","$65,646 to $81,536; $93,584 to $98,804; $95,588 to $100,913; $101,831 to $107,511; and $102,980 to $108,722",12/21/2018,,,None,None,MAINTENANCE,R,ONLY ON AN OPEN COMPETITIVE BASIS,,1,3,"A valid T2 (or higher) Water Treatment Operator license and a D1 Water Distribution Operator License issued by the California State Water Resources Control Board, Division of Drinking Water, are required at the time of filing."
